"filename", "language", "C#", "JSON", "Properties", "XML", "comment", "blank", "total"
"c:\Users\krzys\Desktop\C-_PROJECT\ConsoleApp1\ConsoleApp1.csproj", "XML", 0, 0, 0, 8, 0, 3, 11
"c:\Users\krzys\Desktop\C-_PROJECT\ConsoleApp1\DebugLogger.cs", "C#", 55, 0, 0, 0, 6, 10, 71
"c:\Users\krzys\Desktop\C-_PROJECT\ConsoleApp1\Dynamite.cs", "C#", 72, 0, 0, 0, 0, 18, 90
"c:\Users\krzys\Desktop\C-_PROJECT\ConsoleApp1\ExitDoor.cs", "C#", 36, 0, 0, 0, 0, 6, 42
"c:\Users\krzys\Desktop\C-_PROJECT\ConsoleApp1\GameEngine.cs", "C#", 161, 0, 0, 0, 18, 42, 221
"c:\Users\krzys\Desktop\C-_PROJECT\ConsoleApp1\GameMap.cs", "C#", 102, 0, 0, 0, 8, 25, 135
"c:\Users\krzys\Desktop\C-_PROJECT\ConsoleApp1\IDrawable.cs", "C#", 9, 0, 0, 0, 0, 2, 11
"c:\Users\krzys\Desktop\C-_PROJECT\ConsoleApp1\ITextInterface.cs", "C#", 9, 0, 0, 0, 0, 2, 11
"c:\Users\krzys\Desktop\C-_PROJECT\ConsoleApp1\Inventory.cs", "C#", 148, 0, 0, 0, 27, 32, 207
"c:\Users\krzys\Desktop\C-_PROJECT\ConsoleApp1\Item.cs", "C#", 34, 0, 0, 0, 0, 11, 45
"c:\Users\krzys\Desktop\C-_PROJECT\ConsoleApp1\ItemFactory.cs", "C#", 23, 0, 0, 0, 0, 4, 27
"c:\Users\krzys\Desktop\C-_PROJECT\ConsoleApp1\MainMenu.cs", "C#", 94, 0, 0, 0, 0, 24, 118
"c:\Users\krzys\Desktop\C-_PROJECT\ConsoleApp1\Pickaxe.cs", "C#", 42, 0, 0, 0, 0, 10, 52
"c:\Users\krzys\Desktop\C-_PROJECT\ConsoleApp1\Player.cs", "C#", 256, 0, 0, 0, 11, 50, 317
"c:\Users\krzys\Desktop\C-_PROJECT\ConsoleApp1\Program.cs", "C#", 17, 0, 0, 0, 2, 6, 25
"c:\Users\krzys\Desktop\C-_PROJECT\ConsoleApp1\ScreenTextInterface.cs", "C#", 67, 0, 0, 0, 3, 16, 86
"c:\Users\krzys\Desktop\C-_PROJECT\ConsoleApp1\SpecialItems.cs", "C#", 15, 0, 0, 0, 0, 4, 19
"c:\Users\krzys\Desktop\C-_PROJECT\ConsoleApp1\Viewport.cs", "C#", 58, 0, 0, 0, 0, 20, 78
"c:\Users\krzys\Desktop\C-_PROJECT\ConsoleApp1\WallHackItem.cs", "C#", 40, 0, 0, 0, 0, 9, 49
"c:\Users\krzys\Desktop\C-_PROJECT\ConsoleApp1\bin\Debug\net8.0\ConsoleApp1.deps.json", "JSON", 0, 23, 0, 0, 0, 0, 23
"c:\Users\krzys\Desktop\C-_PROJECT\ConsoleApp1\bin\Debug\net8.0\ConsoleApp1.runtimeconfig.json", "JSON", 0, 12, 0, 0, 0, 0, 12
"c:\Users\krzys\Desktop\C-_PROJECT\ConsoleApp1\obj\ConsoleApp1.csproj.nuget.dgspec.json", "JSON", 0, 72, 0, 0, 0, 0, 72
"c:\Users\krzys\Desktop\C-_PROJECT\ConsoleApp1\obj\ConsoleApp1.csproj.nuget.g.props", "XML", 0, 0, 0, 16, 0, 0, 16
"c:\Users\krzys\Desktop\C-_PROJECT\ConsoleApp1\obj\ConsoleApp1.csproj.nuget.g.targets", "XML", 0, 0, 0, 2, 0, 0, 2
"c:\Users\krzys\Desktop\C-_PROJECT\ConsoleApp1\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"c:\Users\krzys\Desktop\C-_PROJECT\ConsoleApp1\obj\Debug\net8.0\ConsoleApp1.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 9, 5, 23
"c:\Users\krzys\Desktop\C-_PROJECT\ConsoleApp1\obj\Debug\net8.0\ConsoleApp1.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 13, 0, 0, 1, 14
"c:\Users\krzys\Desktop\C-_PROJECT\ConsoleApp1\obj\Debug\net8.0\ConsoleApp1.GlobalUsings.g.cs", "C#", 7, 0, 0, 0, 1, 1, 9
"c:\Users\krzys\Desktop\C-_PROJECT\ConsoleApp1\obj\Debug\net8.0\ConsoleApp1.sourcelink.json", "JSON", 0, 1, 0, 0, 0, 0, 1
"c:\Users\krzys\Desktop\C-_PROJECT\ConsoleApp1\obj\project.assets.json", "JSON", 0, 78, 0, 0, 0, 0, 78
"Total", "-", 1257, 186, 13, 26, 86, 302, 1870